"Year","DEPTH_STRATUM","SPATIAL_STRATUM","sets"
2012,,,5
2012,,"Dean/Burke Channel",5
2012,,"Finlayson Channel",5
2012,,"Gil Island",5
2012,,"Portland Inlet",5
2012,"RD1","S1",7
2012,"RD2","S1",8
2012,"RD3","S1",8
2012,"RD1","S2",7
2012,"RD2","S2",7
2012,"RD3","S2",8
2012,"RD1","S3",14
2012,"RD2","S3",6
2012,"RD3","S3",6
2012,"RD1","S4",6
2012,"RD2","S4",6
2012,"RD3","S4",6
2012,"RD1","S5",7
2012,"RD2","S5",7
2012,"RD3","S5",7
