"year","Expr1","EXISTENCE_ATTRIBUTE_DESC"
2012,238,"ROUGHEYE/BLACKSPOTTED - BLACKSPOTTED (USER GUESS)"
2012,157,"ROUGHEYE/BLACKSPOTTED - ROUGHEYE (USER GUESS)"
