"TRIP_ID","year","set","sbe","acc","ctd"
73190,2012,1,3,,
73190,2012,2,23,,
73190,2012,3,23,25,
73190,2012,4,3,,
73190,2012,5,23,,
73190,2012,6,3,25,
73190,2012,7,3,24,
73190,2012,8,23,,
73190,2012,9,3,,
73190,2012,10,3,,
73190,2012,11,3,,
73190,2012,12,23,,
73190,2012,13,3,,
73190,2012,14,3,13,
73190,2012,15,3,,
73190,2012,16,3,,
73190,2012,17,3,,
73190,2012,18,3,,
73190,2012,19,3,,
73190,2012,20,3,,
73190,2012,21,3,25,
73190,2012,22,3,,
73190,2012,23,3,,
73190,2012,24,23,,
73190,2012,25,23,,
73190,2012,26,8,15,
73190,2012,27,3,,
73190,2012,28,3,,
73190,2012,29,3,,
73190,2012,30,3,,
73190,2012,31,3,25,
73190,2012,32,23,,
73190,2012,33,23,25,
73190,2012,34,3,,
73190,2012,35,23,,
73190,2012,36,22,,
73190,2012,37,23,,
73190,2012,38,3,11,
73190,2012,39,3,,
73190,2012,40,3,,
73190,2012,41,3,,
73190,2012,42,24,,
73190,2012,43,23,,
73190,2012,44,3,,
73190,2012,45,3,,
73190,2012,46,3,,
73190,2012,47,3,25,
73190,2012,48,3,,
73190,2012,49,23,,
73190,2012,50,3,,
73190,2012,51,23,,
73190,2012,52,3,,
73190,2012,53,3,,
73190,2012,54,3,,
73190,2012,55,3,10,
73190,2012,56,3,,
73190,2012,57,3,,
73190,2012,58,3,,
73190,2012,59,23,,
73190,2012,60,23,,
73190,2012,61,23,,
73190,2012,62,23,,
73190,2012,63,23,,
73190,2012,64,3,,
73190,2012,65,3,,
73190,2012,66,23,25,
73190,2012,67,3,,
73190,2012,68,3,,
73190,2012,69,22,,
73190,2012,70,23,,
73190,2012,71,3,25,
73190,2012,72,3,,
73190,2012,73,3,,
73190,2012,74,23,,
73190,2012,75,23,,
73190,2012,76,23,,
73190,2012,77,23,,
73190,2012,78,23,,
73190,2012,79,23,,
73190,2012,80,23,25,
73190,2012,81,3,,
73190,2012,82,3,,
73190,2012,83,3,,
73190,2012,84,3,,
73190,2012,85,23,,
73190,2012,86,3,,
73190,2012,87,3,,
73190,2012,88,4,,
73190,2012,89,3,,
73190,2012,90,3,25,
73190,2012,91,3,,
73190,2012,92,3,,
73190,2012,93,3,,
73190,2012,94,23,,
73190,2012,95,3,,
73190,2012,96,23,,
73190,2012,97,3,25,
73190,2012,98,3,,
73190,2012,99,23,,
73190,2012,100,23,,
73190,2012,101,23,,
73190,2012,102,3,,
73190,2012,103,3,,
73190,2012,104,3,,
73190,2012,105,3,,
73190,2012,106,22,,
73190,2012,107,3,,
73190,2012,108,23,25,
73190,2012,109,3,,
73190,2012,110,23,,
73190,2012,111,3,,
73190,2012,112,23,24,
73190,2012,113,3,,
73190,2012,114,23,,
73190,2012,115,23,,
73190,2012,116,3,,
73190,2012,117,3,,
73190,2012,118,3,,
73190,2012,119,3,10,
73190,2012,120,23,,
73190,2012,121,3,,
73190,2012,122,,25,
73190,2012,123,3,,
73190,2012,124,3,,
73190,2012,125,3,,
73190,2012,126,3,,
73190,2012,127,3,,
73190,2012,128,3,25,
73190,2012,129,3,,
73190,2012,130,3,,
73190,2012,131,3,,
73190,2012,132,23,25,
73190,2012,133,23,,
73190,2012,134,23,,
73190,2012,135,23,,
