"keyid","Association","year","Names"
9,"amr       ",2012,"Jonas Barranco, Guy Boxall, Jon Eis, Margo Elfert, Ian Hamilton, Matthew McKay, and Jonathan Monahan"
10,"dfo       ",2012,"Schon Acheson, Kristina Anderson, Lisa Lacko and Malcolm Wyeth"
11,"crew      ",2012,"D’Arcy Nichols (skipper), Gene Davidson, Kaleb Duggan, Todd Lower, Alex Pugh and James Simpson"
