"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",2669.27
"Spiny dogfish","SQUALUS ACANTHIAS",2286.49
"Arrowtooth flounder","ATHERESTHES STOMIAS",1653.71
"Rougheye/blackspotted rockfish complex","SEBASTES ALEUTIANUS",1563.45
"Pectoral rattail","ALBATROSSIA PECTORALIS",976.47
