"SABLE_SET_TYPE","count","tagagainlive","tagdead","tagrelease","taglengthsample","samplecount"
"INLET STANDARDIZED",6213,104,0,2925,2918,983
"NO SET TYPE",2,0,0,0,0,1
"StRS",16845,50,1,5801,5790,4699
