"SPECIES_COMMON_NAME","SPECIES_SCIENCE_NAME","catchkg"
"Pacific halibut","HIPPOGLOSSUS STENOLEPIS",923.4
"Arrowtooth flounder","ATHERESTHES STOMIAS",33.1
